tweet_id,sc,bmc,av,fv,ip,hri,prc,nwo,sat
30001,0,1,0,1,1,0,1,1,1
30002,0,0,0,1,1,0,1,0,0
30003,1,1,0,1,1,0,0,1,1
30004,0,0,0,0,0,0,0,0,0
30005,0,0,0,1,0,0,0,0,0
30006,0,0,0,1,1,0,1,0,0
30007,0,0,0,1,0,0,0,0,0
30008,1,0,0,1,1,0,1,0,0
30009,0,0,1,1,1,0,1,1,1
30010,0,0,0,1,0,0,0,0,0
30011,0,0,0,0,0,0,0,0,0
30012,0,0,1,1,0,1,0,0,0
30013,0,1,1,0,0,0,0,0,0
30014,0,0,0,0,0,0,0,0,0
30015,0,0,0,0,0,0,0,0,0
30016,0,0,0,0,0,0,0,0,0
30017,0,0,0,0,0,0,0,0,0
30018,0,0,0,0,0,0,0,0,0
30019,0,0,0,0,1,0,0,0,0
30020,0,0,0,1,0,0,0,0,0
30021,0,0,0,0,0,0,0,0,0
30022,0,0,1,1,1,1,1,1,0
30023,0,0,0,0,0,0,0,0,0
30024,0,0,0,1,1,0,1,1,0
30025,0,0,0,1,0,0,0,0,0
30026,0,0,0,0,0,0,0,0,0
30027,0,1,1,1,1,0,1,1,1
30028,0,0,0,0,0,0,0,0,0
30029,0,0,1,1,0,0,1,0,0
30030,0,0,0,0,0,0,0,0,0
30031,0,0,1,1,1,0,1,1,1
30032,0,0,0,0,0,0,0,0,0
30033,0,0,0,1,0,0,0,0,1
30034,0,0,0,0,0,0,0,0,0
30035,0,0,0,1,1,0,0,0,0
30036,0,0,0,1,1,0,0,0,0
30037,0,0,0,0,0,0,1,0,0
30038,0,0,0,1,0,0,0,0,0
30039,0,0,0,1,1,0,0,0,0
30040,0,0,0,0,0,0,0,0,0
30041,0,0,0,0,0,0,0,0,0
30042,0,0,0,1,1,0,1,0,0
30043,0,0,1,1,1,0,1,1,1
30044,1,1,1,1,1,0,1,1,1
30045,0,0,0,1,1,0,1,0,0
30046,0,1,0,1,0,0,0,0,1
30047,0,0,0,0,1,0,0,0,0
30048,0,1,1,1,1,0,1,1,0
30049,0,0,0,0,0,0,0,0,0
30050,0,0,0,0,0,0,0,0,0
30051,0,1,0,0,0,0,0,0,0
30052,0,0,0,0,0,0,0,0,0
30053,0,0,0,0,0,0,0,0,0
30054,0,1,1,1,1,0,1,0,1
30055,0,1,1,1,1,0,1,1,1
30056,1,0,0,1,1,0,0,0,0
30057,0,0,0,0,0,0,0,0,0
30058,0,0,0,0,0,0,0,0,0
30059,0,0,1,1,1,0,1,0,0
30060,0,1,1,1,1,0,1,0,1
